# Photos in the Fish Tank's reef, cut out from these originals. Public domain, CC0 or CC BY; CC BY
# requires this attribution. file	subject	author	licence	source
reef-clownfish-1.heic	Amphiprion ocellaris (ocellaris clownfish)	Holger Krisp	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Falsche_Clownfisch_Amphiprion_ocellaris.jpg
reef-clownfish-2.heic	Amphiprion ocellaris (ocellaris clownfish)	Luca Napelo	CC BY	https://www.inaturalist.org/photos/85719596
reef-clownfish-3.heic	Amphiprion ocellaris (ocellaris clownfish)	Janderk	Public domain	https://commons.wikimedia.org/wiki/File:Common_clownfish.jpg
reef-bluetang-1.heic	Paracanthurus hepatus (blue tang)	Holger Krisp	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Paracanthurus-hepatus-paletten-doktorfisch.jpg
reef-bluetang-2.heic	Paracanthurus hepatus (blue tang)	Tewy	CC BY 2.5	https://commons.wikimedia.org/wiki/File:Blue_tang_(Paracanthurus_hepatus)_02.jpg
reef-bluetang-3.heic	Paracanthurus hepatus (blue tang)	Jhonatan Matheus	CC BY	https://www.inaturalist.org/photos/725231605
reef-yellowtang-1.heic	Zebrasoma flavescens (yellow tang)	Amada44	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Zebrasoma_flavescens_004a.jpg
reef-yellowtang-2.heic	Zebrasoma flavescens (yellow tang)	Adrian Pingstone	Public domain	https://commons.wikimedia.org/wiki/File:Yellow.tang.arp.jpg
reef-yellowtang-3.heic	Zebrasoma flavescens (yellow tang)	Bob	CC BY	https://www.inaturalist.org/photos/638062787
reef-yellowtang-4.heic	Zebrasoma flavescens (yellow tang)	User:Amada44	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Zebrasoma_flavescens_001.jpg
reef-chromis-1.heic	Chromis viridis (blue-green chromis)	Debra Baker	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Blue-green_Chromis,_Kiribati_imported_from_iNaturalist_photo_345755248.jpg
reef-chromis-2.heic	Chromis viridis (blue-green chromis)	Adrian Pingstone	Public domain	https://commons.wikimedia.org/wiki/File:Green.chromis.arp.jpg
reef-chromis-3.heic	Chromis viridis (blue-green chromis)	anonymous iNaturalist user (CC0)	CC0	https://www.inaturalist.org/photos/338080671
reef-firefish-1.heic	Nemateleotris magnifica (firefish goby)	Karelj	CC0	https://commons.wikimedia.org/wiki/File:Nemateleotris_magnifica_Prague_2011_1.jpg
reef-firefish-2.heic	Nemateleotris magnifica (firefish goby)	domdomegg	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Orange-dashed_goby_in_Birdworld_2.jpg
reef-firefish-3.heic	Nemateleotris magnifica (firefish goby)	Igor Balashov	CC BY	https://www.inaturalist.org/photos/321170782
reef-flameangel-1.heic	Centropyge loricula (flame angelfish)	Andreas März	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Centropyge_loricula,_2010.jpg
reef-flameangel-2.heic	Centropyge loricula (flame angelfish)	Brian Gratwicke	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Flame_Angelfish_Centropyge_loricula.jpg
reef-flameangel-3.heic	Centropyge loricula (flame angelfish)	Debra Baker	CC BY	https://www.inaturalist.org/photos/737427288
reef-gramma-2.heic	Gramma loreto (royal gramma)	Georges Jansoone (JoJan)	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Monaco.Mus%C3%A9e_oc%C3%A9anographique031.jpg
reef-acropora-1.heic	Acropora kenti (tabling/branching colony)	MolaAcropora	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Coral_Chimera_Acropora_kenti_by_SciReef.jpg
reef-acropora-2.heic	Acropora tenuis (branching colony)	MolaAcropora	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Coral_Chimera_Acropora_tenuis.jpg
reef-acropora-3.heic	Acropora cervicornis (staghorn branch)	Dan Schofield	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Acropora_cervicornis_304063762.jpg
reef-anemone-1.heic	Entacmaea quadricolor (bubble-tip anemone)	Kate Senatskaya	CC BY	https://www.inaturalist.org/photos/492726782
reef-anemone-2.heic	Entacmaea quadricolor (bubble-tip anemone)	Julien Lepage	CC BY	https://www.inaturalist.org/photos/227062859
reef-anemone-3.heic	Entacmaea quadricolor (bubble-tip anemone)	Igor Balashov	CC BY	https://www.inaturalist.org/photos/319920394
reef-brain-1.heic	Diploria labyrinthiformis (grooved brain coral)	Jay Brasher	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Diploria_labyrinthiformis_348763950.jpg
reef-brain-2.heic	Diploria labyrinthiformis (grooved brain coral)	Pauline Walsh Jacobson	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Diploria_labyrinthiformis_384402865.jpg
reef-brain-3.heic	brain coral (Diploria/Pseudodiploria)	unknown (released to public domain)	Public domain	https://commons.wikimedia.org/wiki/File:Brain_coral.jpg
reef-toadstool-1.heic	Sarcophyton glaucum (toadstool leather coral)	Karelj	Public domain	https://commons.wikimedia.org/wiki/File:Sarcopython_glaucum_1.jpg
reef-toadstool-2.heic	Sarcophyton glaucum (toadstool leather coral)	Karelj	Public domain	https://commons.wikimedia.org/wiki/File:Sarcopython_glaucum_2.jpg
reef-toadstool-3.heic	Sarcophyton glaucum (toadstool leather coral)	Karelj	Public domain	https://commons.wikimedia.org/wiki/File:Sarcopython_glaucum_3.jpg
reef-zoanthid-1.heic	Zoanthus sp. (zoanthids)	Neil Skene	Public domain	https://commons.wikimedia.org/wiki/File:Zoanthid.jpg
reef-zoanthid-2.heic	Zoanthus sp. (zoanthids)	Kaden Slone	CC BY	https://www.inaturalist.org/photos/673852846
reef-torch-1.heic	Euphyllia glabrescens (torch coral)	Ryan Boren	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Euphyllia_glabrescens.jpg
reef-torch-2.heic	Euphyllia sp. (torch coral)	Igor Balashov	CC BY	https://www.inaturalist.org/photos/319875997
reef-euphyllia-1.heic	Euphyllia sp. (hammer/frogspawn type)	David Burdick.	Public domain	https://commons.wikimedia.org/wiki/File:Reef0836_-_Flickr_-_NOAA_Photo_Library.jpg
reef-candycane-1.heic	Caulastraea sp. (candy cane coral) with Zoanthus	Brian Jeffery Beggerly	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Caulastraea_y_Zoanthus.jpg
reef-rock-1.heic	live rock encrusted with coralline algae (its cut-off right edge redrawn)	Nat Tarbox	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Coralline_algae_encrusted_live_rock.jpg
